config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_FI_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.560750,3,true,900.151,"102 192 393"
RPG_p=5,Compound.I,399,3,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,false,-0.560750,3,true,626.403,"192 102 393"
RPG_p=10,Compound.I,399,3,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,false,-0.560750,3,true,620.098,"393 102 192"
RPG_p=20,Compound.I,399,3,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,false,-0.560750,3,true,594.776,"393 102 192"
GRASP_POP_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,true,-0.560750,3,true,900.091,"102 192 393"
GRASP_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,true,-0.494465,4,true,900.092,"102 247 192 373"
GRASP_RW_BI_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-0.494465,4,true,279.392,"247 102 192 373"
GRASP_FI_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.494465,4,true,900.275,"102 192 373 247"
RPG_p=5,Compound.I,399,4,-1.0000,RPG,BEST_IMPROVING,"",,5,10000,900,true,-0.494465,4,true,900.151,"102 373 192 247"
RPG_p=10,Compound.I,399,4,-1.0000,RPG,BEST_IMPROVING,"",,10,10000,900,true,-0.494465,4,true,900.040,"247 192 102 373"
RPG_p=20,Compound.I,399,4,-1.0000,RPG,BEST_IMPROVING,"",,20,10000,900,true,-0.494465,4,true,900.058,"102 192 247 373"
GRASP_POP_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD+POP,BEST_IMPROVING,"",,,10000,900,true,-0.494465,4,true,900.067,"102 192 373 247"
GRASP_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,900,true,-0.441912,5,true,900.231,"139 192 246 70 311"
GRASP_RW_BI_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD,FAST_INTERCHANGE_BI,"",,,10000,900,false,-0.441912,5,true,363.211,"246 139 192 311 70"
GRASP_FI_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD,FIRST_IMPROVING,"",,,10000,900,true,-0.441912,5,true,900.278,"70 139 192 311 246"
