config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,elements
GRASP_WLS_alpha=0.050000,indian.i,583,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-2.005019,3,true,10.040,"245 322 536"
GRASP_WLS_alpha=0.050000,indian.i,583,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.898247,4,true,10.022,"394 322 508 580"
GRASP_WLS_alpha=0.050000,indian.i,583,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.813719,5,true,10.036,"457 185 405 536 38"
GRASP_WLS_alpha=0.050000,indian.i,583,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.747285,6,true,10.062,"487 159 512 506 299 126"
GRASP_WLS_alpha=0.050000,indochina_combat.I,72,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-1.116419,3,true,0.602,"33 31 60"
GRASP_WLS_alpha=0.050000,indochina_combat.I,72,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-1.005694,4,true,1.038,"44 40 67 21"
GRASP_WLS_alpha=0.050000,indochina_combat.I,72,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.913308,5,true,2.295,"42 56 40 21 6"
GRASP_WLS_alpha=0.050000,indochina_combat.I,72,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.825544,6,true,1.950,"42 56 31 21 11 25"
GRASP_WLS_alpha=0.050000,ionosphere.I,351,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-4.154197,3,true,10.010,"344 284 227"
GRASP_WLS_alpha=0.050000,ionosphere.I,351,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-3.939218,4,true,10.003,"332 284 227 263"
GRASP_WLS_alpha=0.050000,ionosphere.I,351,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-3.789355,5,true,10.005,"273 284 303 227 263"
GRASP_WLS_alpha=0.050000,ionosphere.I,351,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-3.665678,6,true,10.019,"115 321 153 263 32 215"
GRASP_WLS_alpha=0.050000,iris.i,150,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.878367,3,true,4.988,"99 7 147"
GRASP_WLS_alpha=0.050000,iris.i,150,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.779745,4,true,9.176,"78 7 139 69"
GRASP_WLS_alpha=0.050000,iris.i,150,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.701197,5,true,4.983,"78 27 139 89 30"
GRASP_WLS_alpha=0.050000,iris.i,150,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.656577,6,true,6.474,"78 39 139 69 9 5"
GRASP_WLS_alpha=0.050000,maronna.i,200,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.730537,3,true,5.937,"102 2 186"
GRASP_WLS_alpha=0.050000,maronna.i,200,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.519418,4,true,7.613,"102 61 43 186"
GRASP_WLS_alpha=0.050000,maronna.i,200,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.446321,5,true,10.006,"49 180 128 56 35"
GRASP_WLS_alpha=0.050000,maronna.i,200,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.403209,6,true,10.008,"102 91 186 43 65 104"
GRASP_WLS_alpha=0.050000,moreshapes.i,489,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.645323,3,true,10.015,"178 429 299"
GRASP_WLS_alpha=0.050000,moreshapes.i,489,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.412984,4,true,10.006,"257 32 338 65"
GRASP_WLS_alpha=0.050000,moreshapes.i,489,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.305973,5,true,10.015,"158 32 291 74 272"
GRASP_WLS_alpha=0.050000,moreshapes.i,489,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.247046,6,true,10.052,"153 441 291 487 255 390"
GRASP_WLS_alpha=0.050000,new-thyroid.I,215,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-1.214459,3,true,7.703,"29 183 185"
GRASP_WLS_alpha=0.050000,new-thyroid.I,215,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-1.078514,4,true,10.009,"115 111 183 185"
GRASP_WLS_alpha=0.050000,new-thyroid.I,215,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.987409,5,true,10.009,"115 183 66 185 192"
GRASP_WLS_alpha=0.050000,new-thyroid.I,215,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.930078,6,true,10.003,"118 183 185 31 126 198"
GRASP_WLS_alpha=0.050000,numbers2.i,540,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.792471,3,true,10.025,"182 498 101"
GRASP_WLS_alpha=0.050000,numbers2.i,540,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.640215,4,true,10.005,"190 98 461 347"
GRASP_WLS_alpha=0.050000,numbers2.i,540,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.529050,5,true,10.028,"185 97 495 358 285"
GRASP_WLS_alpha=0.050000,numbers2.i,540,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,true,-0.460142,6,true,10.061,"189 100 410 353 312 470"
GRASP_WLS_alpha=0.050000,outliers.i,131,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.736748,3,true,2.485,"117 61 113"
GRASP_WLS_alpha=0.050000,outliers.i,131,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.642636,4,true,2.736,"117 59 114 57"
GRASP_WLS_alpha=0.050000,outliers.i,131,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.580970,5,true,4.828,"65 129 10 57 67"
GRASP_WLS_alpha=0.050000,outliers.i,131,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.525616,6,true,7.116,"73 129 48 76 67 2"
GRASP_WLS_alpha=0.050000,pib100.i,100,3,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.254249,3,true,2.090,"28 75 3"
GRASP_WLS_alpha=0.050000,pib100.i,100,4,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.177186,4,true,2.741,"79 16 3 42"
GRASP_WLS_alpha=0.050000,pib100.i,100,5,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.125382,5,true,2.347,"43 8 79 3 19"
GRASP_WLS_alpha=0.050000,pib100.i,100,6,0.0500,STANDARD,BEST_IMPROVING,"",,,10000,10,false,-0.102462,6,true,3.468,"58 17 3 83 36 8"
