config,file,n,k,alpha,construct_mode,ls_mode,reactive_alphas,reactive_block,sample_size,iterations,time_limit_s,timed_out,max_value,size,feasible,time_s,time_to_solution_s,elements
GRASP_FI_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-36.947697,4,true,0,0,13 11 7 18
RPG_p=20,BreastB.I,49,4,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-36.947697,4,true,0,0,13 18 11 7
GRASP_POP_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-36.947697,4,true,1,1,13 7 11 18
GRASP_WLS_alpha=0.050000,BreastB.I,49,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-36.947697,4,true,987,1,7 13 11 18
GRASP_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-35.724731,5,true,1,1,13 7 11 18 10
GRASP_FI_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-35.724731,5,true,1,1,13 11 18 7 10
RPG_p=20,BreastB.I,49,5,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-35.724731,5,true,2,2,7 18 11 13 10
GRASP_POP_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-35.724731,5,true,1,1,13 7 11 18 10
GRASP_WLS_alpha=0.050000,BreastB.I,49,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-35.724731,5,true,1336,1,7 13 11 18 10
GRASP_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-34.534918,6,true,2,2,13 11 18 10 7 34
GRASP_FI_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-34.534918,6,true,1,1,34 7 13 11 18 10
RPG_p=20,BreastB.I,49,6,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-34.534918,6,true,2,2,7 11 13 34 18 10
GRASP_POP_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-34.534918,6,true,2,2,13 11 7 18 10 34
GRASP_WLS_alpha=0.050000,BreastB.I,49,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-34.534918,6,true,1975,0,34 13 7 11 18 10
GRASP_alpha=0.050000,BreastB.I,49,20,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-21.650511,20,true,20,20,34 7 11 18 10 29 4 20 32 23 40 14 8 42 48 47 39 27 16 22
GRASP_FI_alpha=0.050000,BreastB.I,49,20,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-21.650511,20,true,14,14,34 7 11 18 10 29 4 20 32 23 40 42 14 47 16 8 48 22 27 39
RPG_p=20,BreastB.I,49,20,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-21.650511,20,true,48,48,7 11 18 10 34 29 32 4 20 23 14 40 16 42 48 8 47 27 39 22
GRASP_POP_alpha=0.050000,BreastB.I,49,20,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-21.650511,20,true,46,46,34 7 11 18 10 29 4 32 20 23 16 14 40 27 48 8 47 39 42 22
GRASP_WLS_alpha=0.050000,BreastB.I,49,20,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-21.659058,20,true,10001,27,33 27 11 18 10 7 29 41 8 23 14 20 32 4 22 40 36 16 47 26
GRASP_alpha=0.050000,BreastB.I,49,25,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-17.549527,25,true,47,47,27 11 18 10 7 29 41 8 23 14 32 20 4 40 16 47 36 2 26 3 48 43 34 39 25
GRASP_FI_alpha=0.050000,BreastB.I,49,25,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-17.549527,25,true,12,12,34 7 11 18 10 29 25 4 37 20 14 23 41 8 40 26 16 48 36 47 39 0 3 43 27
RPG_p=20,BreastB.I,49,25,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-17.549527,25,true,35,35,18 11 29 10 25 8 37 4 14 20 0 23 40 47 16 26 7 43 36 3 48 27 34 39 41
GRASP_POP_alpha=0.050000,BreastB.I,49,25,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-17.549527,25,true,193,193,27 11 18 10 7 29 41 8 23 14 32 20 4 16 40 36 47 26 2 43 48 3 39 34 25
GRASP_WLS_alpha=0.050000,BreastB.I,49,25,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-17.572330,25,true,10005,13,34 7 13 11 18 10 29 25 4 20 37 14 23 41 8 40 48 36 39 16 47 26 2 3 43
GRASP_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.560750,3,true,72,72,192 393 102
GRASP_FI_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.560750,3,true,209,209,102 192 393
RPG_p=20,Compound.I,399,3,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.560750,3,true,60,60,393 102 192
GRASP_POP_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.560750,3,true,107,107,102 192 393
GRASP_WLS_alpha=0.050000,Compound.I,399,3,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.603219,3,true,10007,4107,315 102 192
GRASP_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.494465,4,true,181,181,102 192 373 247
GRASP_FI_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.494465,4,true,225,225,102 192 373 247
RPG_p=20,Compound.I,399,4,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.494465,4,true,144,144,192 102 373 247
GRASP_POP_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.494465,4,true,120,120,373 102 247 192
GRASP_WLS_alpha=0.050000,Compound.I,399,4,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.500815,4,true,10012,5641,317 106 192 303
GRASP_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.441912,5,true,301,301,70 139 192 246 311
GRASP_FI_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.441912,5,true,359,359,70 139 192 246 311
RPG_p=20,Compound.I,399,5,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.441912,5,true,305,305,192 70 246 139 311
GRASP_POP_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,true,-0.441917,5,true,10079,365,192 69 140 311 246
GRASP_WLS_alpha=0.050000,Compound.I,399,5,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.448370,5,true,10017,6316,317 100 192 302 141
GRASP_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,false,-0.400339,6,true,713,713,209 70 139 166 246 311
GRASP_FI_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,false,-0.400339,6,true,662,662,70 139 311 166 209 246
RPG_p=20,Compound.I,399,6,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,false,-0.400339,6,true,1165,1165,246 70 311 166 139 209
GRASP_POP_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD+POP,BEST_IMPROVING,,,,10000,10,false,-0.400339,6,true,658,658,311 246 166 209 70 139
GRASP_WLS_alpha=0.050000,Compound.I,399,6,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.412219,6,true,10005,4848,315 71 174 292 140 211
GRASP_alpha=0.050000,Compound.I,399,20,0.0500,STANDARD,BEST_IMPROVING,,,,10000,10,true,-0.207028,20,true,15412,15412,131 49 352 214 88 17 186 140 370 309 393 176 61 164 35 241 274 289 323 209
GRASP_FI_alpha=0.050000,Compound.I,399,20,0.0500,STANDARD,FIRST_IMPROVING,,,,10000,10,true,-0.205873,20,true,10006,10006,126 139 186 214 17 32 49 88 164 176 209 3 241 274 352 370 393 61 299 323
RPG_p=20,Compound.I,399,20,-1.0000,RPG,BEST_IMPROVING,,,20,10000,10,true,-0.206929,20,true,12255,12255,274 186 17 299 140 131 49 209 352 241 70 370 169 148 54 393 214 84 323 32
